EventId->EventTemplate
I1->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"横切换单或者强换，触发判定是否横切换材\r\n","ExceptionInfo":null}
I2->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"{splicer_part} 判定为换卷，准备进入 {handle_func_name} 函数","ExceptionInfo":null}
I3->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"进入到换卷处理函数 {handle_func_name}\r\n","ExceptionInfo":null}
I4->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"拿到了 {splicer_part} 实际材质={real_material},实际门幅={real_width}\r\n当前 {splicer_part} 材质={material},门幅={width}\r\n{reason}\r\n","ExceptionInfo":null}
I5->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"{handle_func_name}-用户修改系数或者开关，报文：{json_data}","ExceptionInfo":null}
I6->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"CalSPNextBatchInfo--{splicer_part}-下批材质={next_material},下批门幅={next_width},下批楞型={next_flute_type},下批全材质={next_full_material}","ExceptionInfo":null}
I7->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"{handle_func_name}--已经进入换材准备中状态了，用下批理论材质进行赋值操作\r\n当前：材质={material}，门幅={width}，楞型={flute_type}\r\n下批理论：材质={next_material}，门幅={next_width}，楞型={next_flute_type}\r\n","ExceptionInfo":null}
I8->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"{handle_func_name} 准备发送{splicer_part}换材消息(正常换卷换材)，通知各执行类","ExceptionInfo":null}
I9->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"DFChangePaper--dfRemain={df_remain},GuRange1={gu_range1},GuRange2={gu_range2},GuRange3={gu_range3}","ExceptionInfo":null}
I10->{"Module":"{module}","Ip":"{ip}","Host":"{host}","UserName":{username},"Content":"DFChangePaper--已进入换材处理:糊机同材剩余-横切到糊机的距离={guremain_to_hq_dist},糊机到横切距离设定值={gu_to_hq_dist_set_value}","ExceptionInfo":null}
